Name,Years,Position,Party,State,Congress,Link
"ABBOTT, Josiah Gardner",1814-1891,Representative,Democrat,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000007
"ADAMS, Charles Henry",1824-1902,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000033
"AINSWORTH, Lucien Lester",1831-1902,Representative,Democrat,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000067
"ALCORN, James Lusk",1816-1894,Senator,Republican,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000079
"ALLISON, William Boyd",1829-1908,Senator,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000160
"ANDERSON, William Black",1830-1901,Representative,Independent,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000236
"ANTHONY, Henry Bowen",1815-1884,Senator,Republican,RI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000262
"ASHE, Thomas Samuel",1812-1887,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000309
"ATKINS, John DeWitt Clinton",1825-1908,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000327
"BAGBY, John Courts",1819-1896,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000031
"BAGLEY, George Augustus",1826-1915,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000032
"BAGLEY, John Holroyd, Jr.",1832-1902,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000033
"BAILEY, James Edmund",1822-1885,Senator,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000039
"BAKER, John Harris",1832-1915,Representative,Republican,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000068
"BAKER, William Henry",1827-1911,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000077
"BALLOU, Latimer Whipple",1812-1900,Representative,Republican,RI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000106
"BANKS, Nathaniel Prentice",1816-1894,Representative,Independent,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000116
"BANNING, Henry Blackstone",1836-1881,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000117
"BARNUM, William Henry",1818-1889,Senator,Democrat,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000166
"BASS, Lyman Kidder",1836-1889,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000221
"BAYARD, Thomas Francis, Sr.",1828-1898,Senator,Democrat,DE,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000253
"BEEBE, George Monroe",1836-1927,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000305
"BELFORD, James Burns",1837-1910,Representative,Republican,CO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000326
"BELL, Samuel Newell",1829-1889,Representative,Democrat,NH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000346
"BENNETT, Thomas Warren",1831-1893,Delegate,Independent,ID,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000383
"BLACKBURN, Joseph Clay Stiles",1838-1918,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000508
"BLAINE, James Gillespie",1830-1893,Representative,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000519
 ,,Senator,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000519
"BLAIR, Henry William",1834-1920,Representative,Republican,NH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000524
"BLAND, Richard Parks",1835-1899,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000544
"BLISS, Archibald Meserole",1838-1923,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000558
"BLOUNT, James Henderson",1837-1903,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000568
"BOGY, Lewis Vital",1813-1877,Senator,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000595
"BOONE, Andrew Rechmond",1831-1886,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000629
"BOOTH, Newton",1825-1892,Senator,Independent Republican,CA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000630
"BOUTWELL, George Sewel",1818-1905,Senator,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000674
